종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"005430","한국공항","KOSPI","운송·창고","69400","-1300","-1.84","219745037000"
"071050","한국금융지주","KOSPI","기타금융","257500","11000","4.46","14349442940000"
"071055","한국금융지주우","KOSPI","기타금융","171000","3000","1.79","1001760921000"
"010040","한국내화","KOSPI","비금속","2110","-10","-0.47","86651500820"
"025540","한국단자","KOSPI","전기·전자","74000","-1100","-1.46","748510000000"
"010100","한국무브넥스","KOSPI","운송장비·부품","5260","-90","-1.68","160169209200"
"004090","한국석유","KOSPI","비금속","15190","-390","-2.50","192823682800"
"002200","한국수출포장","KOSPI","종이·목재","3235","-15","-0.46","129400000000"
"002960","한국쉘석유","KOSPI","화학","456000","-4000","-0.87","592800000000"
"000240","한국앤컴퍼니","KOSPI","기타금융","30550","50","0.16","2900271582000"
"123890","한국자산신탁","KOSPI","기타금융","2860","75","2.69","349989428360"
"015760","한국전력","KOSPI","전기·가스","59800","-300","-0.50","38389451804600"
"006200","한국전자홀딩스","KOSPI","기타금융","650","-35","-5.11","30422038400"
"027970","한국제지","KOSPI","종이·목재","785","2","0.26","149289916045"
"023350","한국종합기술","KOSPI","일반서비스","4750","-55","-1.14","52012500000"
"025890","한국주강","KOSPI","기계·장비","1718","-62","-3.48","19429306962"
"000970","한국주철관","KOSPI","금속","6970","-20","-0.29","158919485000"
"104700","한국철강","KOSPI","금속","9480","40","0.42","345546000000"
"017960","한국카본","KOSPI","금속","34900","0","0.00","1811604974800"
"161890","한국콜마","KOSPI","화학","72400","0","0.00","1709007574800"
"161390","한국타이어앤테크놀로지","KOSPI","화학","72100","-1400","-1.90","8931392474900"
"034830","한국토지신탁","KOSPI","기타금융","1376","34","2.53","347425180480"
"007280","한국특강","KOSPI","금속","1388","14","1.02","84408875668"
"047810","한국항공우주","KOSPI","운송장비·부품","176700","11200","6.77","17223851406900"
"123690","한국화장품","KOSPI","유통","10190","-250","-2.39","163732920000"
"003350","한국화장품제조","KOSPI","화학","52400","-100","-0.19","237476800000"
"011500","한농화성","KOSPI","화학","24800","-450","-1.78","387798641600"
"002390","한독","KOSPI","제약","11200","-180","-1.58","154151569600"
"053690","한미글로벌","KOSPI","일반서비스","20250","-300","-1.46","221890387500"
"042700","한미반도체","KOSPI","기계·장비","202500","-7000","-3.34","19300720500000"
"008930","한미사이언스","KOSPI","기타금융","41550","-350","-0.84","2841668902500"
"128940","한미약품","KOSPI","제약","601000","-13000","-2.12","7699405591000"
"009240","한샘","KOSPI","유통","48600","2300","4.97","1143748900800"
"020000","한섬","KOSPI","섬유·의류","21050","0","0.00","472314574350"
"003680","한성기업","KOSPI","음식료·담배","5210","-30","-0.57","32351573150"
"105630","한세실업","KOSPI","섬유·의류","12660","-330","-2.54","506400000000"
"069640","한세엠케이","KOSPI","유통","630","-2","-0.32","28228096260"
"016450","한세예스24홀딩스","KOSPI","섬유·의류","4195","0","0.00","167800000000"
"009180","한솔로지스틱스","KOSPI","운송·창고","2945","-25","-0.84","82918904625"
"213500","한솔제지","KOSPI","종이·목재","8920","50","0.56","212301137920"
"014680","한솔케미칼","KOSPI","화학","302500","-2500","-0.82","3428896487500"
"004710","한솔테크닉스","KOSPI","전기·전자","5880","30","0.51","188806082640"
"004150","한솔홀딩스","KOSPI","기타금융","3370","45","1.35","138259709400"
"025750","한솔홈데코","KOSPI","종이·목재","623","-13","-2.04","50192087827"
"004960","한신공영","KOSPI","건설","13210","-370","-2.72","152848973420"
"011700","한신기계","KOSPI","기계·장비","4905","275","5.94","159148370655"
"001750","한양증권","KOSPI","증권","25650","1700","7.10","326486897100"
"001755","한양증권우","KOSPI","증권","21900","600","2.82","11497500000"
"018880","한온시스템","KOSPI","기계·장비","4460","70","1.59","4577130981920"
"009420","한올바이오파마","KOSPI","제약","54500","400","0.74","2847114771000"
"014130","한익스프레스","KOSPI","운송·창고","2865","-15","-0.52","34380000000"
"300720","한일시멘트","KOSPI","비금속","18020","-10","-0.06","1325284666180"
"002220","한일철강","KOSPI","금속","4730","-175","-3.57","126278985800"
"003300","한일홀딩스","KOSPI","비금속","16300","40","0.25","502576009200"
"051600","한전KPS","KOSPI","건설","58300","500","0.87","2623500000000"
